product_id,isin,sedol,ticker,name,asset_class,instrument_type,cfi_code,underlying_product_id,contract_size,strike_price,expiry_date,exchange_mic,currency,tick_size,lot_size,base_price
AAPL,US0378331005,,AAPL,Apple Inc.,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,185.0
AAPL_C150,,,AAPL_C150,AAPL Call 150,equity,call_option,OCAFXX,AAPL,100,150.0,2024-03-15,XCBO,USD,0.01,1,35.0
AAPL_P140,,,AAPL_P140,AAPL Put 140,equity,put_option,OPAFXX,AAPL,100,140.0,2024-03-15,XCBO,USD,0.01,1,5.0
AMZN,US0231351067,,AMZN,Amazon.com Inc.,equity,common_stock,ESXXXX,,,,,XNAS,USD,0.01,100,175.0
AMZN_C180,,,AMZN_C180,AMZN Call 180,equity,call_option,OCAFXX,AMZN,100,180.0,2024-03-15,XCBO,USD,0.01,1,10.0
AUDUSD,,,AUDUSD,AUD/USD,fx,spot,MRCXXX,,,,,XXXX,USD,0.0001,10000,0.66
BAC,US0605051046,,BAC,Bank of America,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,34.0
CL_FUT,,,CL_FUT,Crude Oil Future,commodity,future,FXXXXX,,1000,,2024-03-29,XCME,USD,0.25,1,73.0
COP,US20825C1045,,COP,ConocoPhillips,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,115.0
COPPER,,,COPPER,Copper,commodity,spot,TCXXXX,,,,,XXXX,USD,0.01,1,3.85
CORN,,,CORN,Corn,commodity,spot,TCXXXX,,,,,XXXX,USD,0.01,1,4.5
COST,US22160K1051,,COST,Costco Wholesale,equity,common_stock,ESXXXX,,,,,XNAS,USD,0.01,100,670.0
CRUDE_OIL,,,CRUDE_OIL,Crude Oil WTI,commodity,spot,TCXXXX,,,,,XXXX,USD,0.01,1,73.0
CVX,US1667641005,,CVX,Chevron Corp.,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,150.0
DIS,US2546871060,,DIS,Walt Disney,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,95.0
ES_FUT,,,ES_FUT,S&P 500 E-mini,index,future,FXXXXX,,50,,2024-03-29,XCME,USD,0.25,1,4800.0
EURUSD,,,EURUSD,EUR/USD,fx,spot,MRCXXX,,,,,XXXX,USD,0.0001,10000,1.085
GBPUSD,,,GBPUSD,GBP/USD,fx,spot,MRCXXX,,,,,XXXX,USD,0.0001,10000,1.27
GC_FUT,,,GC_FUT,Gold Future,commodity,future,FXXXXX,GOLD,100,,2024-03-29,XCME,USD,0.25,1,2050.0
GOLD,,,GOLD,Gold,commodity,spot,TCXXXX,,,,,XXXX,USD,0.01,1,2050.0
GOOGL,US02079K3059,,GOOGL,Alphabet Inc.,equity,common_stock,ESXXXX,,,,,XNAS,USD,0.01,100,142.0
GS,US38141G1040,,GS,Goldman Sachs,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,380.0
HD,US4370761029,,HD,Home Depot,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,350.0
JNJ,US4781601046,,JNJ,Johnson & Johnson,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,160.0
JPM,US46625H1005,,JPM,JPMorgan Chase,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,175.0
MA,US57636Q1040,,MA,Mastercard Inc.,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,430.0
META,US30303M1027,,META,Meta Platforms,equity,common_stock,ESXXXX,,,,,XNAS,USD,0.01,100,360.0
MRK,US58933Y1055,,MRK,Merck & Co.,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,120.0
MS,US6174464486,,MS,Morgan Stanley,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,90.0
MSFT,US5949181045,,MSFT,Microsoft Corp.,equity,common_stock,ESXXXX,,,,,XNAS,USD,0.01,100,380.0
NAT_GAS,,,NAT_GAS,Natural Gas,commodity,spot,TCXXXX,,,,,XXXX,USD,0.01,1,2.5
NKE,US6541061031,,NKE,Nike Inc.,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,105.0
NQ_FUT,,,NQ_FUT,Nasdaq 100 E-mini,index,future,FXXXXX,,20,,2024-03-29,XCME,USD,0.25,1,16800.0
NVDA,US67066G1040,,NVDA,NVIDIA Corp.,equity,common_stock,ESXXXX,,,,,XNAS,USD,0.01,100,620.0
NVDA_C500,,,NVDA_C500,NVDA Call 500,equity,call_option,OCAFXX,NVDA,100,500.0,2024-03-15,XCBO,USD,0.01,1,130.0
PFE,US7170811035,,PFE,Pfizer Inc.,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,28.0
SILVER,,,SILVER,Silver,commodity,spot,TCXXXX,,,,,XXXX,USD,0.01,1,23.5
SOYBEANS,,,SOYBEANS,Soybeans,commodity,spot,TCXXXX,,,,,XXXX,USD,0.01,1,12.8
TSLA,US88160R1014,,TSLA,Tesla Inc.,equity,common_stock,ESXXXX,,,,,XNAS,USD,0.01,100,245.0
TSLA_C250,,,TSLA_C250,TSLA Call 250,equity,call_option,OCAFXX,TSLA,100,250.0,2024-03-15,XCBO,USD,0.01,1,15.0
TSLA_P200,,,TSLA_P200,TSLA Put 200,equity,put_option,OPAFXX,TSLA,100,200.0,2024-03-15,XCBO,USD,0.01,1,8.0
UNH,US91324P1021,,UNH,UnitedHealth Group,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,530.0
USDCAD,,,USDCAD,USD/CAD,fx,spot,MRCXXX,,,,,XXXX,USD,0.0001,10000,1.345
USDCHF,,,USDCHF,USD/CHF,fx,spot,MRCXXX,,,,,XXXX,USD,0.0001,10000,0.87
USDJPY,,,USDJPY,USD/JPY,fx,spot,MRCXXX,,,,,XXXX,USD,0.0001,10000,148.5
V,US92826C8394,,V,Visa Inc.,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,270.0
WFC,US9497461015,,WFC,Wells Fargo,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,50.0
WHEAT,,,WHEAT,Wheat,commodity,spot,TCXXXX,,,,,XXXX,USD,0.01,1,6.1
XOM,US30231G1022,,XOM,Exxon Mobil,equity,common_stock,ESXXXX,,,,,XNYS,USD,0.01,100,100.0
ZB_FUT,,,ZB_FUT,30Y Treasury Bond,fixed_income,future,FXXXXX,,1000,,2024-03-29,XCME,USD,0.25,1,120.0
